message,label
okay going sleep later,0
dont know u u dont know send chat let find pmsg rcvd hgsuitelandsrowwjhl ldn year,1
important customer service announcement call freephone,1
im back lem know youre ready,0
dont know jabo abi,0
ü dun wan watch infernal affair,0
actual exam harder nbme,0
customer service announcement recently tried make delivery unable please call reschedule ref,1
living simple loving also simple laughing simple winning tooo simple simple difficult,0
cant pick phone right pls send message,0
great send account number,0
hey whats charles sorry late reply,0
shopping eh ger toking abt syd lehhaha,0
nutter cutter ctter cttergg cttargg ctargg ctagg ie,0
webpage available,0
customer place call,0
omg want scream weighed lost weight woohoo,0
ive got ten buck jay noncomittal,0
meeting u work tel shall work tomorrow,0
yeah hopefully tyler cant could maybe ask around bit,0
dude go sup,0
see half hour,0
hmm ill think ok youre forgiven,0
hope text meet smiling let text give reason smile beautiful day,0
im bus love,0
hard live chat pmin choose girl connect live call cheap chat uk biggest live service vu bcmwcnxx,1
one day training,0
haha mayb ure rite u know well da feeling liked someone gd lor u faster go find one gal group attached liao,0
entered cabin pa said happy bday bos felt special askd lunch lunch invited apartment went,0
match startedindia ltgt,0
ya came ago,0
today vodafone number ending selected receive £ award number match call receive £ award,1
ask around there lot term mids,0
fuck cedar key fuck come anyway tho,0
specialisation work slave labor look month sha co shakara beggar,0
ur going bahamas callfreefone speak live operator claim either bahamas cruise of£ cash opt txt x,1
rofl betta invest anti aging product,0
v skint fancied bevieswaz gona go meet othrs spoon jst bin watchng planet earthsofa v comfey dont make hav gd night,0
stalking u,0
hi babe chloe r u smashed saturday night great weekend u missing sp visionsmscom text stop stop ptext,1
usual u call ard smth,0
well meant opposed drunken night,0
get garden ready summer free selection summer bulb seed worth £ scotsman saturday stop go notxtcouk,1
height oh shit situation guy throw luv letter gal fall brother head who gayd,0
k k watch film,0
notice like looking shit mirror youre turning right freak,0
ok wont call disturb one know avoiding burden,0
rtking pro video club need help inforingtonekingcouk call must club credit redeemable wwwringtonekingcouk enjoy,1
hey there veggie pizza,0
stupidits possible,0
u lunch alone bored,0
escape theatre going watch kavalan minute,0
ya telling abt tht incident,0
hav almost reached call unable connect u,0
meeting ü rite ill go home lor ü dun feel like comin ok,0
yar tot u knew dis would happen long ago already,0
one best dialogue cute reltnship wen die dont come near body bcoz hand may come wipe ur tear timegud ni,0
please protect ethreats sib never asks sensitive information like passwordsatmsms pin thru email never share password anybody,0
cbe really good nowadayslot shop showroomscity shaping good,0
recieve tone within next hr term condition please see channel u teletext pg,1
im going bath msg next ltgt min,0
enufcredeit tocallshall ileave uni get bus yor house,0
good afternoon sunshine dawn day refreshed happy alive breathe air smile think love always,0
ok lor ned go toa payoh return smth u wan send wat,0
problem talk later,0
give sec think think,0
k jason say he gon na around ill around ltgt,0
faith make thing possiblehope make thing worklove make thing beautifulmay three christmasmerry christmas,0
hi hope ur day good back walk table booked half eight let know ur coming,0
fineabsolutly fine,0
derek done class,0
always make thing bigger,0
cheer callin babesozi culdnt talkbut wannatell u detail later wenwecan chat properly x,0
download clear movie dvd copy,0
buzzzz grin buzz as buzz chest buzz cock keep phone vibrator feel shake,0
urgent please call landline £ cash luxury canary island holiday await collection tc sae po box mxy ppm,1
kkwhy cant come search job,0
getting touch folk waiting company txt back name age opt enjoy community psms,1
mom want know,0
hey gorgeous man work mobile number good one babe squishy mwahs,0
done handed celebration full swing yet,0
okay thought expert,0
im home,0
saw guy doll last night patrick swayze great,0
yeah like go like friend imma flip shit like half hour,0
let go bill miller,0
frens go lor alone wif mum n si lor,0
hii got money da,0
hi wlcome back wonder got eaten lion something nothing much,0
velly good yes please,0
attended nothing,0
ugh dont wan na get bed warm,0
welcome please reply age gender begin eg,1
part checking iq,0
easy mate guess quick drink bit ambitious,0
si think waste rr,0
dont know thing thats wrong everyso often panicks start goin bout bein good enough …,0
urgent trying contact u today draw show £ prize guaranteed call land line claim c valid hr,1
happened yo date,0
mobile club choose top quality item mobile cfcaa,1
dawhats plan,0
convey regard,0
still looking job much ta earn,0
yeah probably,0
fine miss much,0
mystery solved opened email he sent another batch isnt sweetie,0
shes fine sends greeting,0
got outta class gon na go gym,0
poyyarikaturkolathupalayamunjalur posterode dis ltgt,0
took mr owl lick,0
long beach lor expected u dinner,0
haha leg neck killing amigo hoping end night burn think could swing like hour,0
willing go aptitude class,0
congrats mobile g videophones r call videochat wid ur mate play java game dload polyph music noline rentl bx ip p,1
dont search love let love find u thats called falling love bcoz u dont force u fall u know smeone hold u bslvyl,0
r ü comin back dinner,0
nobody decide eat dad want chinese,0
gentle princess make sweet gentle love,0
use foreign stamp country,0
much dirty fellow,0
realise busy guy im trying bother get exam outta way try car gr day,0
new textbuddy chat horny guy ur area p free receive search postcode gaytextbuddycom txt one name rpl stop cnl,1
know thinkin malaria relax child cant handle malaria would worse gastroenteritis take enough replace loss temp reduce give malaria med vomit self limiting illness mean day completely stop,0
oh shut omg yesterday dream kid boy pissed kid boy even told mark dream changing diaper cause im getting owed face,0
dont think get away trek long family town sorry,0
call later dont network urgnt sm,0
busy trying finish new year looking forward finally meeting,0
opening mca,0
text doesnt reply let know log,0
nokia tone ur mob every week txt nok st tone free get txtin tell ur friend ptone reply hl info,1
seems unnecessarily affectionate,0
feel like trying kadeem v,0
whenwhere pick,0
wa ur openin sentence formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happened,0
entered cabin pa said happy bday bos felt special askd lunch lunch invited apartment went,0
im cool ta luv vtired cause doin load planning wk got social service inspection nursery take care spk sn x,0
oh ho first time u use type word,0
dont fret ill buy ovulation test strip send wont get til like march send postal addressull alrightokay,0
nite nite pocay wocay luv u n e thing eva promise ring u morrowxxxx,0
send yettys number pls,0
carry disturbing,0
ok bag,0
need lar jus testing e phone card dunno network gd thk waiting si finish bathing bathe dun disturb u liao u cleaning ur room,0
ok feel like john lennon,0
world running stillmaybe feeling sameso itor admiti madthen correctionor let call lifeand keep running worldmay u r also runninglets run,0
u knw dis ltgt,0
sure neighbor didnt pick,0
great role model giving much really wish day miracle god reason everything must say wish knew dont ive looked since young still great day,0
freemsg hey darling week word back id like fun still tb ok xxx std chgs send £ rcv,1
great getting worried know wonderful caring person like best life know u r wonderful god love,0
already one guy loving,0
urgent trying contact u today draw show £ prize guaranteed call land line claim j po boxcpm,1
say bold torch later one torch bold,0
lifted hope offer money need especially end month approach hurt studying anyways gr weekend,0
boy best get yo as quick,0
get step outta way congrats,0
im office call ltgt min,0
hey loverboy love tell look picture ache feel leg fuck want need crave,0
lol busy,0
ron say fri leh n said ding tai feng cant make reservation said wait lor,0
ok lor,0
sorry ill call later,0
rofl true name,0
damn make tonight want wait til tomorrow,0
mmmm fuck fair know weakness grin push knee expose belly pull head dont forget know wicked smile,0
hey sorry didntgive ya bellearlier hunnyjust bedbut mite go thepub ltr uwana mt uploads luv jenxxx,0
call number available appointment ask connect call waheed fathima,0
em olowoyey uscedu great time argentina sad secretary everything blessing,0
slaaaaave must summon time dont wish come anymore,0
idk keep saying youre since moved keep butting head freedom v responsibility im tired much shit deal im barely keeping together get added,0
ok askd u knw tht,0
£ uk break accommodationvouchers term condition apply claim mustprovide claim number,1
email alertfrom jeri stewartsize kbsubject lowcost prescripiton drvgsto listen email call,1
let know need anything else salad desert something many beer shall get,0
hello thanx taking call got job start monday,0
fyi im gon na call sporadically starting like ltgt bc doin shit,0
tuesday night r u real,0
need person give na,0
whats feathery bowa something guy dont know,0
lateso call tomorrow morningtake care sweet dreamsu meummifyingbye,0
pub,0
urgent nd attempt contact u £ prize yesterday still awaiting collection claim call,1
dont know shes getting message,0
claim shopping spree call mobstorequizppm,1
youve always brainy one,0
problem baby good time talk called left message,0
saw ron burgundy captaining party boat yeah,0
hey ive booked pilate yoga lesson already haha,0
free text msg text ok well credit account,1
merry christmas u annie,0
ü pay first lar da stock comin,0
last chance claim ur £ worth discount voucherstext yes nowsavamobmember offer mobile c £ sub remove txt x stop,1
single single answer fighting plus said broke didnt reply,0
aathiwhere dear,0
get brand new mobile phone agent mob plus load goody info text mat,1
hmmbad newshype park plaza studio takenonly left bedrm,0
pls help tell sura im expecting battery hont pls send message download movie thanks,0
got new year co yetunde said wanted surprise didnt see money returned mid january ltgt day return period ended,0
moment dayhas valuemorning brings hopeafternoon brings faithevening brings luvnight brings restwish u find todaygood morning,0
live next ltgt min,0
sea lay rock rock envelope envelope paper paper word,0
hoping would send message rent due dont enough reserve completely gone loan need hoping could balance ltgt way could get till mid march hope pay back,0
latebut kwish,0
new club dont fink met yet b gr c u please leave msg day wiv ur area reply promised carlie x calls£minmobsmore lkpoboxhpfl,1
samus shoulder yet,0
battery low babe,0
joy father john john name joy father mandan,0
hows champ leaving glasgow,0
thanks understanding ive trying tell sura,0
ugh leg hurt musta overdid mon,0
tell u headache want use hour sick time,0
place ur point e culture module already,0
hard true much show amp express love someonethat much hurt leave get seperated鈥┾〨ud evening,0
freemsg fancy flirt reply date join uk fastest growing mobile dating service msg rcvd p optout txt stop reply date,1
want show world princess europe,0
different style,0
kkare college,0
costa del sol holiday £ await collection call toclaim sae tc pobox stockport skxh cost£pm maxmins,1
urgent trying contact u today draw show £ prize guaranteed call land line claim validhrs,1
broke list reason nobody town cant tell shes sarcastic faggy,0
u switch fone dammit,0
yun ahthe ubi one say ü wan call tomorrowcall look ireneere got bus ubi cresubi tech parkph st wkg daysèn,0
cant take major role community outreach rock mel,0
sure whenever show fuck gt,0
lot sickness thing going round take easy hope u feel better soon lol,0
bloo bloo bloo ill miss first bowl,0
emailed yifeng part oredi ü get fr,0
please charge mobile get morning,0
sorry meeting ill call later,0
tbspersolvo chasing u since sept for£ definitely paying thanks information ignore kath manchester,1
r u meeting da ge nite tmr,0
jason say cool pick place like hour,0
tmrw im finishing door,0
win year supply cd store ur choice worth £ enter £ weekly draw txt music tscs wwwldewcomsubswinppmx,1
hey babe far spunout spk da mo dead da wrld sleeping da sofa day cool nytho tx fonin hon call mwen im bk frmcloud j x,0
normally use drink water daily,0
mum say wan go go shun bian watch da glass exhibition,0
congrats nokia video camera phone call call cost ppm ave call min vary mobile close post bcm ldn wcnxx,1
wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da,0
one interested may business plan,0
ü send content page,0
think far find check google map place dorm,0
trying figure im suppose see couple different people week said wed get together didnt set date,0
sweet may may go u meet carlos gauge patty interest,0
tell shola please go college medicine visit academic department tell academic secretary current situation ask transfer ask someone check sagamu thing lautech vital completes medical education nigeria less expensive much less expensive unless getting citizen rate new zealand,0
jus an lar ull noe later,0
university southern california,0
know didt msg recently,0
unni thank dear rechargerakhesh,0
nd time tried contact u u pound prize claim easy call p per min btnationalrate,1
surfing online store offer want buy thing,0
waited yesterday,0
make cry stuff happens top everything else push edge dont underdtand often cry sorry sorry life,0
aight well head,0
one registered subscriber u enter draw gb gift voucher replying enter unsubscribe text stop,1
poor girl cant go one day lmao,0
safe trip nigeria wish happiness soon company share moment,0
ü wan go c doctor,0
happen dear tell,0
family happiness,0
want new video handset time network min unlimited text camcorder reply call del sat,1
shit wasnt surprised went spent evening french guy met town fooled around bit didnt let fuck,0
asked call ok,0
dont use hook,0
today offer claim ur £ worth discount voucher text yes savamob member offer mobile c £ sub unsub reply x,1
u look da lib got stuff havent finish yet,0
account xxxxxxxxx show unredeemed point claim call identifier code xxxxx expires,1
well done costa del sol holiday £ await collection call toclaim sae tc pobox stockport skxh cost£pm maxmins,1
drive read need write,0
sorry u unsubscribe yet mob offer package min term week pls resubmit request expiry reply themob help info,1
watch lor saw swatch one thk quite ok ard need nd opinion leh,0
hank lotsly,0
ok many buy,0
sorry im stil fucked last nite went tobed got work,0
free entry wkly comp win fa cup final tkts st may text fa receive entry questionstd txt ratetcs apply over,1
think two still need get cash def ready,0
urgent call landline complementary tenerife holiday £ cash await collection sae tc po box wa px ppm sender hol offer,1
know old dom told yesterday name roger got touch last night want meet today pm,0
watching tv lor,0
hey reply pa,0
yeah go bored depressed sittin waitin phone ring hope wind drop though scary,0
train back northampton im afraid,0
yeah get random dude need change info sheet party ltgt never study safe,0
im movie collect car oredi,0
right though cant give space want need really starting become issue going suggest setting definite move outif im still greece maybe ready,0
gam gone outstanding inning,0
kkim going tirunelvali week see uncle already spend amount taking dress want moneyi give feb,0
ok ill right later,0
r u sam p eachother meet go house,0
famous quote develop ability listen anything unconditionally without losing temper self confidence mean married,0
call like ltgt time oh give u hypertension oh,0
im ok wif co like try new thing scared u dun like mah co u said loud,0
time coming later,0
ya one slow poo,0
exactly anyways far jide study visiting,0
usualiam fine happy amp well,0
walked hour c u doesnt show care wont u believe im serious,0
message important information user today lucky day find log onto httpwwwurawinnercom fantastic surprise awaiting,1
pizza u want,0
whenevr ur sad whenevr ur gray remembr im listn watevr u wan na say jus walk wid little whileamp promise ill bring back ur smile,0
ur ringtone service changed free credit go clubmobilescom choose content stop txt club stop pwk club po box mk wt,1
urgent please call landline abta complimentary tenerife holiday cash await collection sae tc box cwwx ppm,1
pls dont forget study,0
im also came room,0
whatsup dont u want sleep,0
im working technical support voice processnetworking field,0
havent add ü yet right,0
k yan jiu liao sat go bugis vill one frm den hop parco nb sun go cine frm den hop orc mrt hip hop,0
cant wait cornwall hope tonight isnt bad well its rock night shite anyway im going kip good night speak soon,0
ha ‘ know either clever simple thing pear day perfect christmas,0
want kfc tuesday buy meal gravy mark,0
leaving yet ok lor go elsewhere n eat u thk,0
joy father john john joy father u an th hav ltgt iq ti ia question try answer,0
im outside island head towards hard rock youll run,0
ard like dat lor juz meet mrt station ü dun haf come,0
piggy r u awake bet ure still sleeping im going lunch,0
wonder co dun rem seeing silver car thk saw black one,0
yay finally lol missed cinema trip last week,0
ok,0
yup need ill jus wait e rain stop,0
im bruce amp fowler im mom car cant park long story,0
nothing jus tot u would ask co u ba gua went mt faber yest yest jus went already mah today going jus call lor,0
tick tick tick babe,0
im used hope agent dont drop since ive booked thing year whole boston nyc experiment,0
credit topped httpwwwbubbletextcom renewal pin tgxxrz,1
ill always even spirit ill get bb soon trying sure need,0
free ringtone waiting collected simply text password mix verify get usher britney fml po box mk h ppw,1
yo come carlos soon,0
k actually guy meet sunoco howard right way,0
love brother time talk english grin say hey muhommad penny say hello across sea,0
great office today,0
hiwhat think match,0
jus finish lunch way home lor tot u dun wan stay sch today,0
deep sigh miss really surprised havent gone net cafe yet get dont miss,0
thanks tescos quite nice gone speak soon,0
ur luck love someone ur fortune love one love u miracle love person cant love anyone except u gud nyt,0
wonderful okors great month cherish guy wish well day mojibiola,0
hi darlin work u get trouble ijust talked mum morning really good time last night im goin soon call u,0
back work morro half term u c nite sexy passion b go back chat luv dena call £minmobsmorelkpoboxhpfl,1
well thats nice bad cant eat,0
message food,0
freemsg havent replied text im randy sexy female live local luv hear u netcollex ltd p per msg reply stop end,1
said u mind go bedroom minute ok sed sexy mood came minuts latr wid caken wife,0
eh u send wrongly lar,0
anyway seriously hit youre back otherwise light armand always shit andor vomiting,0
arrived see couple day lt,0
going ride bike,0
soon real thing princess make wet,0
rodger burn msg tried call reply sm free nokia mobile free camcorder please call delivery tomorrow,1
keeping away like,0
freemessage jamsterget crazy frog sound poly text mad real text mad crazy sound gbpweek tc apply,1
loan purpose £ £ homeowner tenant welcome previously refused still help call free text back help,1
meet lunch la,0
u,0
still west coast haiz üll take forever come back,0
well little time thing good time ahead,0
ok give minute think see btw youre alibi cutting hair whole time,0
natalja f inviting friend reply yes see wwwsmsacunat stop send stop frnd,1
haha sound crazy dunno tahan anot,0
pick bout ish time going,0
who say hi drugdealer,0
leave u always ignorant,0
twinks bear scallies skin jock calling dont miss weekend fun call pmin stop text call nat rate,1
hey time driving fri go evaluation fri,0
electricity went fml,0
please give u connection today ltdecimalgt refund bill,0
okie,0
compliment away system side,0
thats cool want please,0
life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happy morning,0
actually mobile full msg work online need send ltgt sent msg wil explain u later,0
omg make wedding chapel frontierville get good stuff,0
bloomberg message center wait apply future httpcareers bloombergcom,1
meet corporation st outside gap … see mind working,0
came look flat seems ok away alot wiv work got woman coming,0
planned yet going join company jan onlydon know happen,0
said text one time,0
sorry earlier putting firesare around talk actually life lol,0
im e person who e sm survey,0
thank much skyped wit kz sura didnt get pleasure company hope good weve given ultimatum oh countin aburo enjoy,0
hey u still gym,0
height confidence aeronautics professor wer calld amp wer askd sit aeroplane aftr sat wer told dat plane w made student dey hurried plane bt didnt move saidif made studentsthis wont even start datz confidence,0
there ring come guy costume gift future yowifes hint hint,0
gim ltgt minute ago,0
spending new year brother family let plan meet next week ready spoiled,0
wan win meetgreet westlife u currently tour unbreakable untamed unkempt text cost p std text,1
guy planning coming,0
hello hello hi lou sorry took long reply left mobile friend lancaster got bak neway im sorry couldnt make ur bday hun,0
free st week nokia tone ur mobile every week txt nokia get txting tell ur mate wwwgetzedcouk pobox wwq normptone,1
long since screamed princess,0
pls send correct name da,0
juz havent woke bit blur blur dad went liao cant cum oso,0
super dagood replacement murali,0
like v shock leh co telling shuhui like telling leona also like dat almost know liao got ask abt ur reaction lor,0
congratulation u claim vip row ticket c blu concert november blu gift guaranteed call claim tscs wwwsmsconet cost£max,1
fine imma get drink somethin want come find,0
took hooch walk toaday fell splat grazed knee everything stayed home see tomorrow,0
yep like pink furniture tho,0
ok finish,0
hey almost forgot happy bday babe love ya,0
working ringing u thing whole houseful screaming brat pulling hair loving u,0
oh oh den muz change plan liao go back yan jiu,0
haha awesome minute,0
dont run away frm u walk slowly amp kill u dont care enough stop,0
come back tampa ffffuuuuuuu,0
u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh,0
romantic paris night flight £ book next year call tscs apply,1
dont b floppy b snappy happy gay chat service photo upload call pmin stop text call,1
latest news police station toilet stolen cop nothing go,1
u attend ur driving lesson many time wk n day,0
oh send address,0
much blackberry bold nigeria,0
want bold bb torch,0
cant describe lucky im actually awake noon,0
yo guess dropped,0
ü log wat sdrybi,0
call unable cal let meet bhaskar deep,0
jus finish watching tv u,0
msg mobile content order resent previous attempt failed due network error query customersqueriesnetvisionukcom,1
lol know hey someone great inpersonation flea forum love,0
yo around got car back,0
pls pls find aunt nike,0
nationwide auto centre something like newport road liked,0
nothin come mind ü help buy hanger lor ur laptop heavy,0
oops phone died didnt even know yeah like better,0
really tot ur paper ended long ago wat u copied jus got use u happy lar still haf study,0
heehee funny tho,0
wishing family merry x ma happy new year advance,0
east coast,0
want send something sell fast ltgt k easy money,0
dont want hear philosophy say happen,0
im done im sorry hope next space give everything want remember furniture im around move lock lock leave key jenne,0
ur awarded city break could win £ summer shopping spree every wk txt store skilgmetscswinawkage£perwksub,1
free msg single find partner area real people waiting chat nowsend chat cncl send stopcs £ per msg,1
come alivebetter correct good looking figure,0
valentine day special win £ quiz take partner trip lifetime send go pmsg rcvd custcare,1
good night going sleep,0
life mean lot love life love people life world call friend call world ge,0
good afternoon love go day sleep hope well boytoy think,0
urgent mobile number awarded £ prize guaranteed call land line claim valid hr,1
ok said ive got wisdom teeth hidden inside n mayb need remove,0
yup ive finished c ü,0
dont talk ever ok word,0
real u getting yo need ticket one jacket im done already used multis,0
well officially philosophical hole u wan na call home ready saved,0
dont forget place many free request stchoicecouk wish information call,1
come n pick ü come immediately aft ur lesson,0
cool come havent wined dined,0
ok wun b angry msg u aft come home tonight,0
ahhh work vaguely remember feel like lol,0
friendship poem dear dear u r near hear dont get fear live cheer tear u r always dear gud ni,0
great trip india bring light everyone project everyone lucky see smile bye abiola,0
u goin nite,0
keep payasam rinu brings,0
creepy crazy,0
taught ranjith sir called sm like becaus he verifying project prabu told today pa dont mistake,0
k ill,0
sorry able get see morning,0
much buzy,0
wif family booking tour package,0
alex know guy sell mids he south tampa dont think could set like,0
wake since checked stuff saw true available space pls call embassy send mail,0
auntie huai juan never pick phone,0
ü thk wat eat tonight,0
tell friend plan valentine day lturlgt,0
want anytime network min text new video phone five pound per week call reply delivery tomorrow,1
nah wednesday bring mini cheetos bag,0
ok asked money far,0
ummmmmaah many many happy return day dear sweet heart happy birthday dear,0
send bec temple na,0
boltblue tone p reply poly mono eg poly cha cha slide yeah slow jamz toxic come stop tone txt,1
message sent askin ltgt dollar shoul pay ltgt ltgt,0
getting threat sale executive shifad raised complaint official message,0
urgent mobile xxxxxxxxx £ bonus caller prize nd attempt reach call asap,1
ah well confuses thing doesnt thought friend maybe wrong thing already sort invited tho may come co money,0
make time tonight whenever cool text whenever youre around,0
get,0
wat time ü wan today,0
better still catch let ask sell ltgt,0
yar lor actually quite fast co da ge slow wat haha,0
discount code rp stop message reply stop wwwregalportfoliocouk customer service,1
ok thk got u wan come wat,0
wait thats still clear sure sarcastic thats x doesnt want live u,0
sorry pain ok meet another night spent late afternoon casualty mean havent done stuffmoro includes time sheet sorry,0
dawhats plan,0
texted finished long time ago showered erything,0
ooooooh forgot tell u get yoville phone,0
havent still waitin usual ü come back sch oredi,0
haha friend tyler literally asked could get dubsack,0
ok r meeting later,0
oh thats late well good night give u call tomorrow iam going go sleep night night,0
great news call freefone claim guaranteed £ cash £ gift speak live operator,1
hi yijue regarding textbook intro algorithm second edition im selling,0
buy pizza meat lover supreme u get pick,0
im leaving house,0
hi amy sending free phone number couple day give access adult party,1
much r ü willing pay,0
way school pls send ashleys number,0
wwwapplausestorecom monthlysubscriptionpmsg maxmonth tcsc web age stop txt stop,1
dont know oh,0
win £ shopping spree every week starting play text store skilgme tscs winawk age £perweeksub,1
fine thanks,0
time coming,0
sent jd customer service cum account executive ur mail id detail contact u,0
let snow let snow kind weather brings ppl together friendship grow,0
stupidits possible,0
ü ask dad pick ü lar ü wan stay meh,0
new year plan,0
hellogorgeous hows u fone charge lst nitw wen u texd hopeu ad nice wkend im sure u lookin ward cin u mrw luv jaz,0
u think girl propose u today seing ur bloody funky shit fucking faceasssssholeeee,0
yar else ill thk sort funny thing,0
umma life vava umma love lot dear,0
accordingly repeat text word ok mobile phone send,1
daily text – favour time,0
carlos taking sweet time usual let know patty donewant smoke ill tell haul as,0
ya srsly better yi tho,0
sad story man last week bday wife didnt wish parent forgot n kid went work even colleague wish,0
way,0
enjoy jamster videosound gold club credit new videosounds logosmusicnews get fun jamstercouk help call,1
guaranteed £ award even £ cashto claim ur award call free stop getstop php rg jx,1
messagesome text missing sendername missing number missing sentdate missing missing u lot thats everything missing sent via fullonsmscom,0
freemsg record indicate may entitled pound accident claim free reply yes msg opt text stop,1
alrite hunnywot u nite didnt end goin town jus da pub instead jus chillin da mo bedroomlove jen xxx,0
hey happen de alright,0
two team waiting player,0
youd like wouldnt jerk,0
per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune,0
didnt holla,0
yup,0
wishing great day moji told offer always speechless offer easily go great length behalf stunning exam next friday keep touch sorry,0
yeah thats thought lem know anythings goin later,0
chance win free bluetooth headset simply reply back adp,1
k ill take care,0
wats dear sleeping ah,0
hows feel mr real valentine yo valentine even tho u hardly play,0
probably come everybodys done around ltgt right,0
customer place wil cal u sir,0
u r beautiful girl ive ever seen u r baby come c common room,0
got like ltgt get later though get whatever feel like,0
li hai bored da lecturer repeating last week stuff waste time,0
hey go jazz power yoga hip hop kb yogasana,0
heart empty without love mind empty without wisdom eye r empty without dream amp life empty without frnds alwys touch good night amp sweet dream,0
account credited free text message activate txt word credit tc wwwbiz,1
done internet connection v slow ‘ send try later first thing tomo,0
urgent trying contact u today draw show £ prize guaranteed call land line claim c validhrs,1
customer place call,0
xmas story peace xmas msg love xmas miracle jesus hav blessed month ahead amp wish u merry xmas,0
okie thanx,0
worse us half way stop better complete,0
kind missed train co asthma attack nxt one half hr driving sure park,0
shall come get pickle,0
de looking good,0
well there lot thing happening lindsay new year sigh bar ptbo blue heron something going,0
beautiful truth expression face could seen everyone depression heart could understood loved one gud ni,0
cant keep going never intention run choose rather keep room clean dont say visitor maybe thats best choice yes wanted embarassed maybe youd feel feel friend want drop buy say happened morning ive tried everything dont know else,0
hows husband,0
congratulation week competition draw u £ prize claim call b tcsstop sm ppm,1
let know youve got money carlos make call,0
k much th fifty,0
sale arsenal dartboard good condition double treble,1
sorry cant text amp drive coherently see twenty,0
total disappointment texted craziest shit got,0
u go back urself lor,0
fyi im taking quick shower epsilon like ltgt min,0
nope c ü,0
nightswe nt staying port step liaotoo ex,0
awarded sipix digital camera call landline delivery within day c box mbp yr warranty ppm p p£,1
time think youll need know near campus,0
gorgeous keep pix cumming thank,0
princess like make love ltgt time per night hope thats problem,0
seems unnecessarily hostile,0
maybe westshore hyde park village place near house,0
free entry £ weekly comp send word win tc wwwtxttowincouk,1
baaaaaaaabe wake miss crave need,0
got hella gas money want go grand nature adventure galileo little bit,0
fighting world easy u either win lose bt fightng close u dificult u lose u lose u win u still lose,0
oh ho first time u use type word,0
whats staff name taking class u,0
might come kerala daysso prepared take leave finalise dont plan travel visitneed finish urgent work,0
lol ok didnt remember til last nite,0
theoretically yeah could able come,0
reckon need town eightish walk carpark,0
ok vldo u know got adsense approved,0
xmas iscoming ur awarded either £ cd gift voucher free entry r £ weekly draw txt music tnc wwwldewcomwinppmxagesubscription,1
film ill call later,0
dear sleeping p,0
time u wrkin,0
hey angry reply dr,0
prasanth ettans mother passed away last night pray family,0
tot u reach liao said tshirt,0
sometimes heart remembrs someone much forgets someone soon bcoz heart like everyone liked one remembered everytime bslvyl,0
single line big meaning miss anything ur best life dont miss ur best life anything gud nyt,0
winner u specially selected receive £ cash holiday flight inc speak live operator claim,1
pls speak customer machan,0
take away money worry,0
uncle atlanta wish guy great semester,0
bank say money,0
pls dont play others life,0
urgent mobile awarded £ bonus caller prize nd attempt contact call boxqu,1
ya toldshe asking wats matter,0
future planned tomorrow result today best present enjoy future,0
thinking going reg pract lesson flung advance haha wat time u going,0
thought praps meant another one goodo ill look tomorrow,0
